     Current Generation,        Most Fit Fitness,     Most Fit Generation,      Median Fit Fitness,   Median Fit Generation,       Worst Fit Fitness,    Worst Fit Generation
                      0,                     150,                       0,                      84,                       0,                     -19,                       0
                   1000,                     150,                       0,                     150,                      73,                      -7,                     999
                   2000,                     150,                       0,                     150,                      73,                     -12,                    1999
                   3000,                     150,                       0,                     150,                      73,                     -13,                    2999
                   4000,                     150,                       0,                     150,                      73,                     -13,                    3999
                   5000,                     150,                       0,                     150,                      73,                      -7,                    4999
                   6000,                     150,                       0,                     150,                      73,                     -11,                    5999
                   7000,                     150,                       0,                     150,                      73,                     -16,                    6999
                   8000,                     150,                       0,                     150,                      73,                     -15,                    7999
                   9000,                     150,                       0,                     150,                      73,                      -7,                    8999
                  10000,                     150,                       0,                     150,                      73,                     -12,                    9999
                  11000,                     150,                       0,                     150,                      73,                     -12,                   10999
                  12000,                     150,                       0,                     150,                      73,                     -10,                   11999
                  13000,                     150,                       0,                     150,                      73,                     -10,                   12999
                  14000,                     150,                       0,                     150,                      73,                     -21,                   13999
                  15000,                     150,                       0,                     150,                      73,                     -11,                   14999
                  16000,                     150,                       0,                     150,                      73,                     -12,                   15999
                  17000,                     150,                       0,                     150,                      73,                      -9,                   16999
